UDI,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Difference temperature [K],Power
1,M,298.1,308.6,1551,42.8,0,0,No Failure,10.5,66382.79999999999
2,L,298.2,308.7,1408,46.3,3,0,No Failure,10.5,65190.399999999994
3,L,298.1,308.5,1498,49.4,5,0,No Failure,10.399999999999977,74001.2
4,L,298.2,308.6,1433,39.5,7,0,No Failure,10.400000000000034,56603.5
5,L,298.2,308.7,1408,40.0,9,0,No Failure,10.5,56320.0
6,M,298.1,308.6,1425,41.9,11,0,No Failure,10.5,59707.5
7,L,298.1,308.6,1558,42.4,14,0,No Failure,10.5,66059.2
8,L,298.1,308.6,1527,40.2,16,0,No Failure,10.5,61385.4
9,M,298.3,308.7,1667,28.6,18,0,No Failure,10.399999999999977,47676.200000000004
10,M,298.5,309.0,1741,28.0,21,0,No Failure,10.5,48748.0
11,H,298.4,308.9,1782,23.9,24,0,No Failure,10.5,42589.799999999996
12,H,298.6,309.1,1423,44.3,29,0,No Failure,10.5,63038.899999999994
13,M,298.6,309.1,1339,51.1,34,0,No Failure,10.5,68422.90000000001
14,M,298.6,309.2,1742,30.0,37,0,No Failure,10.599999999999966,52260.0
15,L,298.6,309.2,2035,19.6,40,0,No Failure,10.599999999999966,39886.0
16,L,298.6,309.2,1542,48.4,42,0,No Failure,10.599999999999966,74632.8
17,M,298.6,309.2,1311,46.6,44,0,No Failure,10.599999999999966,61092.6
18,M,298.7,309.2,1410,45.6,47,0,No Failure,10.5,64296.0
19,H,298.8,309.2,1306,54.5,50,0,No Failure,10.399999999999977,71177.0
20,M,298.9,309.3,1632,32.5,55,0,No Failure,10.400000000000034,53040.0
21,H,298.9,309.3,1375,42.7,58,0,No Failure,10.400000000000034,58712.50000000001
22,L,298.8,309.3,1450,44.8,63,0,No Failure,10.5,64959.99999999999
23,M,298.9,309.3,1581,30.7,65,0,No Failure,10.400000000000034,48536.7
24,L,299.0,309.4,1758,25.7,68,0,No Failure,10.399999999999977,45180.6
25,M,299.0,309.4,1561,37.3,70,0,No Failure,10.399999999999977,58225.299999999996
26,L,299.0,309.5,1861,23.3,73,0,No Failure,10.5,43361.3
27,L,299.1,309.5,1512,39.0,75,0,No Failure,10.399999999999977,58968.0
28,H,299.1,309.4,1811,24.6,77,0,No Failure,10.299999999999955,44550.600000000006
29,L,299.1,309.4,1439,44.2,82,0,No Failure,10.299999999999955,63603.8
30,L,299.0,309.4,1693,30.1,84,0,No Failure,10.399999999999977,50959.3
31,M,299.1,309.5,1339,48.2,86,0,No Failure,10.399999999999977,64539.8
32,L,299.0,309.4,1798,25.5,89,0,No Failure,10.399999999999977,45849.0
33,L,299.0,309.4,1419,48.3,91,0,No Failure,10.399999999999977,68537.7
34,L,298.9,309.3,1665,32.5,93,0,No Failure,10.400000000000034,54112.5
35,M,298.8,309.1,1559,34.7,95,0,No Failure,10.300000000000011,54097.3
36,M,298.8,309.2,1452,48.6,98,0,No Failure,10.399999999999977,70567.2
37,M,298.9,309.2,1581,36.7,101,0,No Failure,10.300000000000011,58022.700000000004
38,L,298.8,309.1,1439,39.2,104,0,No Failure,10.300000000000011,56408.8
39,H,298.9,309.2,1379,50.7,106,0,No Failure,10.300000000000011,69915.3
40,L,298.8,309.1,1350,52.5,111,0,No Failure,10.300000000000011,70875.0
41,L,298.8,309.1,1362,45.4,113,0,No Failure,10.300000000000011,61834.799999999996
42,L,298.8,309.1,1368,50.8,115,0,No Failure,10.300000000000011,69494.4
43,M,298.8,309.1,1368,49.1,117,0,No Failure,10.300000000000011,67168.8
44,H,298.8,309.2,1372,48.5,120,0,No Failure,10.399999999999977,66542.0
45,M,298.8,309.1,1472,47.5,125,0,No Failure,10.300000000000011,69920.0
46,L,298.8,309.1,1489,49.1,128,0,No Failure,10.300000000000011,73109.90000000001
47,M,298.7,309.0,1843,25.8,130,0,No Failure,10.300000000000011,47549.4
48,L,298.8,309.1,1418,46.3,133,0,No Failure,10.300000000000011,65653.4
49,H,298.8,309.2,1425,53.9,135,0,No Failure,10.399999999999977,76807.5
50,M,298.9,309.2,1412,44.1,140,0,No Failure,10.300000000000011,62269.200000000004
51,L,298.9,309.1,2861,4.6,143,1,Power Failure,10.200000000000045,13160.599999999999
52,L,298.9,309.1,1383,54.9,145,0,No Failure,10.200000000000045,75926.7
53,H,298.8,309.0,1497,43.8,147,0,No Failure,10.199999999999989,65568.59999999999
54,L,298.7,309.0,1565,35.1,152,0,No Failure,10.300000000000011,54931.5
55,L,298.7,309.0,1691,30.1,154,0,No Failure,10.300000000000011,50899.100000000006
56,L,298.8,309.1,1512,40.7,156,0,No Failure,10.300000000000011,61538.4
57,L,298.8,309.1,1477,42.4,158,0,No Failure,10.300000000000011,62624.799999999996
58,L,298.8,309.1,1513,40.3,160,0,No Failure,10.300000000000011,60973.899999999994
59,M,298.8,309.0,1661,29.5,162,0,No Failure,10.199999999999989,48999.5
60,L,298.8,309.1,1378,54.4,165,0,No Failure,10.300000000000011,74963.2
61,L,298.8,309.1,1393,52.6,167,0,No Failure,10.300000000000011,73271.8
62,M,298.8,309.0,1592,38.2,169,0,No Failure,10.199999999999989,60814.4
63,L,298.8,309.0,1829,22.9,172,0,No Failure,10.199999999999989,41884.1
64,M,298.9,309.0,1812,25.9,174,0,No Failure,10.100000000000023,46930.799999999996
65,L,299.0,309.1,1523,38.6,177,0,No Failure,10.100000000000023,58787.8
66,L,299.0,309.1,1394,45.1,179,0,No Failure,10.100000000000023,62869.4
67,M,298.9,308.9,1679,28.7,181,0,No Failure,10.0,48187.299999999996
68,H,298.8,308.9,1466,44.1,184,0,No Failure,10.099999999999966,64650.6
69,L,298.8,308.9,1527,32.4,189,0,No Failure,10.099999999999966,49474.799999999996
70,L,298.9,309.0,1410,65.7,191,1,Power Failure,10.100000000000023,92637.0
71,M,298.9,309.0,1924,22.6,193,0,No Failure,10.100000000000023,43482.4
72,L,298.9,309.1,1452,45.5,196,0,No Failure,10.200000000000045,66066.0
73,L,298.9,309.1,1369,44.4,198,0,No Failure,10.200000000000045,60783.6
74,L,299.0,309.1,1592,35.0,200,0,No Failure,10.100000000000023,55720.0
75,L,298.9,309.0,1601,32.3,202,0,No Failure,10.100000000000023,51712.299999999996
76,L,298.8,308.9,1379,46.7,204,0,No Failure,10.099999999999966,64399.3
77,L,298.8,308.9,1461,47.9,206,0,No Failure,10.099999999999966,69981.9
78,L,298.8,308.9,1455,41.3,208,1,Tool Wear Failure,10.099999999999966,60091.49999999999
79,L,298.8,308.9,1398,51.5,0,0,No Failure,10.099999999999966,71997.0
80,L,298.8,308.9,1402,37.9,2,0,No Failure,10.099999999999966,53135.799999999996
81,H,298.8,308.8,1445,49.9,4,0,No Failure,10.0,72105.5
82,L,298.9,308.9,1450,47.5,9,0,No Failure,10.0,68875.0
83,L,298.9,308.9,1453,40.8,11,0,No Failure,10.0,59282.399999999994
84,L,299.0,309.0,1469,40.1,13,0,No Failure,10.0,58906.9
85,L,298.9,308.9,1422,47.6,15,0,No Failure,10.0,67687.2
86,M,299.0,309.0,1804,26.8,17,0,No Failure,10.0,48347.200000000004
87,H,299.0,309.0,1436,43.9,20,0,No Failure,10.0,63040.4
88,L,299.0,309.0,1544,31.8,25,0,No Failure,10.0,49099.200000000004
89,M,299.0,309.0,1419,45.2,27,0,No Failure,10.0,64138.8
90,M,298.9,308.9,1487,39.5,30,0,No Failure,10.0,58736.5
91,L,298.9,308.9,1753,25.8,33,0,No Failure,10.0,45227.4
92,L,298.9,308.9,1830,24.9,35,0,No Failure,10.0,45567.0
93,M,298.9,308.9,1727,27.1,37,0,No Failure,10.0,46801.700000000004
94,L,299.1,309.0,1450,43.0,40,0,No Failure,9.899999999999977,62350.0
95,L,299.0,308.9,1622,31.9,42,0,No Failure,9.899999999999977,51741.799999999996
96,M,299.0,309.0,1351,52.2,44,0,No Failure,10.0,70522.2
97,M,299.0,309.0,1575,35.3,47,0,No Failure,10.0,55597.49999999999
98,M,298.9,308.9,1750,29.9,50,0,No Failure,10.0,52325.0
99,L,298.9,308.8,1529,32.7,53,0,No Failure,9.900000000000034,49998.3
100,L,298.8,308.8,1523,44.4,55,0,No Failure,10.0,67621.2
101,L,298.8,308.9,1852,25.0,57,0,No Failure,10.099999999999966,46300.0
102,L,298.8,308.8,1991,20.7,59,0,No Failure,10.0,41213.7
103,L,298.8,308.8,1555,40.6,61,0,No Failure,10.0,63133.0
104,M,298.8,308.8,1441,40.5,63,0,No Failure,10.0,58360.5
105,L,298.8,308.7,1450,43.4,66,0,No Failure,9.899999999999977,62930.0
106,L,298.8,308.7,1591,31.1,68,0,No Failure,9.899999999999977,49480.100000000006
107,L,298.8,308.7,1445,48.5,70,0,No Failure,9.899999999999977,70082.5
108,M,298.8,308.8,1497,46.8,72,0,No Failure,10.0,70059.59999999999
109,H,298.9,308.8,1621,32.7,75,0,No Failure,9.900000000000034,53006.700000000004
110,L,298.9,308.7,1572,34.1,80,0,No Failure,9.800000000000011,53605.200000000004
111,L,298.8,308.6,1872,22.5,82,0,No Failure,9.800000000000011,42120.0
112,H,298.7,308.6,1499,43.5,84,0,No Failure,9.900000000000034,65206.5
113,M,298.8,308.7,1498,39.5,89,0,No Failure,9.899999999999977,59171.0
114,M,298.8,308.6,1486,41.9,92,0,No Failure,9.800000000000011,62263.4
115,L,298.8,308.6,1680,29.4,95,0,No Failure,9.800000000000011,49392.0
116,L,298.8,308.6,1431,45.7,97,0,No Failure,9.800000000000011,65396.700000000004
117,L,298.9,308.7,1564,34.1,99,0,No Failure,9.800000000000011,53332.4
118,L,298.8,308.6,1599,33.0,101,0,No Failure,9.800000000000011,52767.0
119,M,298.8,308.6,1707,28.1,103,0,No Failure,9.800000000000011,47966.700000000004
120,L,298.7,308.5,1467,40.7,106,0,No Failure,9.800000000000011,59706.9
121,L,298.9,308.7,1433,44.7,108,0,No Failure,9.800000000000011,64055.100000000006
122,L,298.9,308.7,1558,41.2,110,0,No Failure,9.800000000000011,64189.600000000006
123,L,299.0,308.8,1310,50.7,112,0,No Failure,9.800000000000011,66417.0
124,L,298.9,308.7,1546,43.4,114,0,No Failure,9.800000000000011,67096.4
125,L,298.9,308.7,1727,29.4,116,0,No Failure,9.800000000000011,50773.799999999996
126,L,298.9,308.6,1560,32.2,118,0,No Failure,9.700000000000045,50232.00000000001
127,L,299.0,308.6,1329,60.5,120,0,No Failure,9.600000000000023,80404.5
128,L,298.9,308.6,1413,46.5,122,0,No Failure,9.700000000000045,65704.5
129,L,299.0,308.6,1587,38.6,124,0,No Failure,9.600000000000023,61258.200000000004
130,L,298.9,308.5,1559,34.3,126,0,No Failure,9.600000000000023,53473.7
131,L,298.8,308.4,1473,41.1,128,0,No Failure,9.599999999999966,60540.3
132,L,298.8,308.4,1737,27.7,130,0,No Failure,9.599999999999966,48114.9
133,M,298.7,308.4,1441,43.2,132,0,No Failure,9.699999999999989,62251.200000000004
134,M,298.7,308.4,1430,49.6,135,0,No Failure,9.699999999999989,70928.0
135,L,298.8,308.4,1369,53.0,138,0,No Failure,9.599999999999966,72557.0
136,M,298.8,308.5,1711,28.5,140,0,No Failure,9.699999999999989,48763.5
137,H,298.7,308.5,1420,45.7,143,0,No Failure,9.800000000000011,64894.00000000001
138,L,298.7,308.6,1297,55.3,148,0,No Failure,9.900000000000034,71724.09999999999
139,H,298.8,308.6,1449,49.4,150,0,No Failure,9.800000000000011,71580.59999999999
140,L,298.8,308.6,1268,55.8,155,0,No Failure,9.800000000000011,70754.4
141,L,298.8,308.6,1511,36.1,157,0,No Failure,9.800000000000011,54547.1
142,L,298.7,308.5,1544,35.2,159,0,No Failure,9.800000000000011,54348.8
143,M,298.6,308.4,1778,28.2,161,0,No Failure,9.799999999999955,50139.6
144,H,298.6,308.4,1407,50.5,164,0,No Failure,9.799999999999955,71053.5
145,M,298.6,308.4,1391,42.4,169,0,No Failure,9.799999999999955,58978.4
146,L,298.5,308.4,1513,33.6,172,0,No Failure,9.899999999999977,50836.8
147,H,298.5,308.4,1612,36.1,174,0,No Failure,9.899999999999977,58193.200000000004
148,L,298.4,308.4,1515,40.1,179,0,No Failure,10.0,60751.5
149,M,298.3,308.3,1379,48.0,181,0,No Failure,10.0,66192.0
150,L,298.4,308.3,1473,39.9,184,0,No Failure,9.900000000000034,58772.7
151,L,298.4,308.3,1422,42.7,186,0,No Failure,9.900000000000034,60719.4
152,M,298.4,308.2,1463,37.6,188,0,No Failure,9.800000000000011,55008.8
153,M,298.4,308.2,1584,41.0,191,0,No Failure,9.800000000000011,64944.0
154,L,298.4,308.2,1850,27.0,194,0,No Failure,9.800000000000011,49950.0
155,L,298.4,308.2,1528,36.2,196,0,No Failure,9.800000000000011,55313.600000000006
156,H,298.4,308.2,1987,19.8,198,0,No Failure,9.800000000000011,39342.6
157,M,298.4,308.1,1495,46.0,203,0,No Failure,9.700000000000045,68770.0
158,H,298.4,308.2,1478,43.5,206,0,No Failure,9.800000000000011,64293.0
159,M,298.4,308.2,1499,40.0,211,0,No Failure,9.800000000000011,59960.0
160,L,298.4,308.2,1471,47.0,214,0,No Failure,9.800000000000011,69137.0
161,L,298.4,308.2,1282,60.7,216,1,Overstrain Failure,9.800000000000011,77817.40000000001
162,L,298.3,308.1,1412,52.3,218,1,Overstrain Failure,9.800000000000011,73847.59999999999
163,L,298.3,308.1,1586,35.5,0,0,No Failure,9.800000000000011,56303.0
164,M,298.4,308.2,1468,43.8,2,0,No Failure,9.800000000000011,64298.399999999994
165,M,298.5,308.3,1440,43.6,5,0,No Failure,9.800000000000011,62784.0
166,L,298.5,308.4,1733,26.0,8,0,No Failure,9.899999999999977,45058.0
167,H,298.4,308.2,1612,32.6,10,0,No Failure,9.800000000000011,52551.200000000004
168,H,298.4,308.3,1458,42.9,15,0,No Failure,9.900000000000034,62548.2
169,L,298.4,308.3,1433,62.3,20,1,Power Failure,9.900000000000034,89275.9
170,L,298.4,308.3,1318,59.1,22,0,No Failure,9.900000000000034,77893.8
171,M,298.4,308.2,1610,35.0,24,0,No Failure,9.800000000000011,56350.0
172,L,298.2,308.1,1462,50.8,27,0,No Failure,9.900000000000034,74269.59999999999
173,M,298.1,308.0,1924,20.8,29,0,No Failure,9.899999999999977,40019.200000000004
174,M,298.2,308.0,1591,33.7,32,0,No Failure,9.800000000000011,53616.700000000004
175,L,298.2,308.1,1306,58.3,35,0,No Failure,9.900000000000034,76139.8
