,onehot__Type_H,onehot__Type_L,onehot__Type_M,scale__Air temperature [K],scale__Process temperature [K],scale__Rotational speed [rpm],scale__Torque [Nm],scale__Tool wear [min],scale__Difference temperature [K],scale__Power,Target
1,0.0,1.0,0.0,-0.9014278130978683,-0.8789535728809053,-0.7296036500753329,0.6342377259674549,-1.6485113323589788,0.49854343030387,0.5134672109289118,0.0
2,0.0,1.0,0.0,-0.9514166340989969,-1.0137592103975868,-0.2279402890175428,0.9452857976072169,-1.6170874998288298,0.3986805390364618,1.3782212837478736,0.0
3,0.0,1.0,0.0,-0.9014278130978683,-0.9463563916392268,-0.590252716448169,-0.04806126988750638,-1.585663667298681,0.39868053903652034,-0.3293117362596691,0.0
4,0.0,1.0,0.0,-0.9014278130978683,-0.8789535728809053,-0.7296036500753329,0.002107773925358439,-1.554239834768532,0.49854343030387,-0.35713642637227816,0.0
5,0.0,0.0,1.0,-0.9514166340989969,-0.9463563916392268,-0.6348450152088615,0.1927501404142446,-1.522816002238383,0.49854343030387,-0.02466327731949808,0.0
6,0.0,1.0,0.0,-0.9514166340989969,-0.9463563916392268,0.10650195168765066,0.24291918422710942,-1.4756802534431597,0.49854343030387,0.5987373723745365,0.0
7,0.0,1.0,0.0,-0.9514166340989969,-0.9463563916392268,-0.06629320601003262,0.02217539145050465,-1.4442564209130107,0.49854343030387,0.14001766638401783,0.0
8,0.0,0.0,1.0,-0.8514389920967113,-0.8789535728809053,0.7140720223020853,-1.1417464250079592,-1.4128325883828619,0.3986805390364618,-1.2054999409943952,0.0
9,0.0,0.0,1.0,-0.7514613500944256,-0.6767451166058639,1.1265507858384907,-1.201949277583397,-1.3656968395876383,0.49854343030387,-1.1003059273693707,0.0
10,1.0,0.0,0.0,-0.8014501710955827,-0.7441479353642237,1.3550863169870395,-1.6133354368488888,-1.318561090792415,0.49854343030387,-1.70471512190718,0.0
11,1.0,0.0,0.0,-0.7014725290932686,-0.609342297847504,-0.6459930898990346,0.43356155071599556,-1.2400015094670427,0.49854343030387,0.3023038219438029,0.0
12,0.0,0.0,1.0,-0.7014725290932686,-0.609342297847504,-1.1142122268863053,1.1158605465709575,-1.1614419281416704,0.49854343030387,0.8307275664456982,0.0
13,0.0,0.0,1.0,-0.7014725290932686,-0.5419394790891824,1.1321248231835772,-1.001273102331938,-1.1143061793464468,0.5984063215712196,-0.7556134699602596,0.0
14,0.0,1.0,0.0,-0.7014725290932686,-0.5419394790891824,2.7653177652939385,-2.044789213639526,-1.0671704305512235,0.5984063215712196,-1.9700851294079647,0.0
